zone_id,zone_name,jahr,monat,niederschlag_mm,temperatur_mittel_c
north_foreststeppe,Северная лесостепь,2019,6,85.9,14.4
north_foreststeppe,Северная лесостепь,2019,7,58.4,19.9
north_foreststeppe,Северная лесостепь,2019,8,37.6,17.2
north_foreststeppe,Северная лесостепь,2019,9,44.7,10.6
north_foreststeppe,Северная лесостепь,2019,10,37.8,5.5
north_foreststeppe,Северная лесостепь,2020,3,34.1,-2.4
north_foreststeppe,Северная лесостепь,2020,4,37.5,7.8
north_foreststeppe,Северная лесостепь,2020,5,33.5,16.3
north_foreststeppe,Северная лесостепь,2020,6,75.6,14.9
north_foreststeppe,Северная лесостепь,2020,7,36.5,19.9
north_foreststeppe,Северная лесостепь,2020,8,74.6,18.2
north_foreststeppe,Северная лесостепь,2020,9,59.5,10.9
north_foreststeppe,Северная лесостепь,2020,10,31.7,4.2
north_foreststeppe,Северная лесостепь,2021,3,54.7,-7.8
north_foreststeppe,Северная лесостепь,2021,4,18.4,2.9
north_foreststeppe,Северная лесостепь,2021,5,9.7,15.9
north_foreststeppe,Северная лесостепь,2021,6,46.9,16.0
north_foreststeppe,Северная лесостепь,2021,7,85.6,19.2
north_foreststeppe,Северная лесостепь,2021,8,53.7,18.5
north_foreststeppe,Северная лесостепь,2021,9,32.0,8.7
north_foreststeppe,Северная лесостепь,2021,10,29.5,3.4
north_foreststeppe,Северная лесостепь,2022,3,26.3,-9.5
north_foreststeppe,Северная лесостепь,2022,4,16.3,5.4
north_foreststeppe,Северная лесостепь,2022,5,40.9,14.2
north_foreststeppe,Северная лесостепь,2022,6,112.9,15.9
north_foreststeppe,Северная лесостепь,2022,7,127.7,18.7
north_foreststeppe,Северная лесостепь,2022,8,25.8,16.7
north_foreststeppe,Северная лесостепь,2022,9,21.5,10.7
north_foreststeppe,Северная лесостепь,2022,10,18.6,4.4
north_foreststeppe,Северная лесостепь,2023,3,26.1,-4.0
north_foreststeppe,Северная лесостепь,2023,4,5.6,2.3
north_foreststeppe,Северная лесостепь,2023,5,19.8,12.8
north_foreststeppe,Северная лесостепь,2023,6,60.1,17.8
north_foreststeppe,Северная лесостепь,2023,7,92.3,21.3
north_foreststeppe,Северная лесостепь,2023,8,87.7,16.4
north_foreststeppe,Северная лесостепь,2023,9,21.7,12.1
north_foreststeppe,Северная лесостепь,2023,10,54.8,5.4
north_foreststeppe,Северная лесостепь,2024,3,13.8,-5.2
north_foreststeppe,Северная лесостепь,2024,4,32.7,3.9
north_foreststeppe,Северная лесостепь,2024,5,38.8,8.4
north_foreststeppe,Северная лесостепь,2024,6,58.5,19.0
north_foreststeppe,Северная лесостепь,2024,7,112.1,19.4
north_foreststeppe,Северная лесостепь,2024,8,89.5,16.4
north_foreststeppe,Северная лесостепь,2024,9,29.5,10.6
north_foreststeppe,Северная лесостепь,2024,10,22.1,3.6
north_foreststeppe,Северная лесостепь,2025,3,26.9,-4.1
north_foreststeppe,Северная лесостепь,2025,4,34.9,7.5
north_foreststeppe,Северная лесостепь,2025,5,100.7,12.2
north_foreststeppe,Северная лесостепь,2025,6,77.6,20.0
north_foreststeppe,Северная лесостепь,2025,7,129.2,18.4
north_foreststeppe,Северная лесостепь,2025,8,84.3,16.5
north_foreststeppe,Северная лесостепь,2025,9,18.4,11.7
north_foreststeppe,Северная лесостепь,2025,10,29.8,1.0
